"","insect","spinifex","skinks","large skinks","mala","small mammal","kangaroo","echidna","snakes","solanum","bird","goanna","betong","eggs","grass","forb","acacia","tree","misc plant","subshrub","shrub","wama","human","bandicoot","bilby","grub","carnivorous mammal","possum","eagle","bustard","dingo","cat","camel","emu","fox","patchiness","human fire","lightning fire","fire"
"insect",-0.1,0,-0.0209681641349985,-0.529194227445421,-0.372019038086471,-0.114081966781415,0,-0.0840452216032275,0,0,-0.0166968682733416,-0.190361407834513,0,0,0,0.00230523977712379,0.00456967297962806,0.00857152165254668,0,0.0265333752334339,0,0.0417984446064678,-0.0598924696212887,-0.45420670895523,-0.0575461993802585,0,-0.218393507601696,0,-0.611483062093406,-0.145196730960368,-0.317248695925537,0,0,0,-0.0961272089498545,0,0,0,0
"spinifex",0,-1,0,-0.0773519840173019,-0.110143616295325,-0.0446587565542507,-0.574794456132991,0,0,0,-0.364873758004149,0,-0.0884560105681883,0,0,0,0,0,0,0,0,0,0,-0.0742463950029225,0,0,0,0,0,-0.0925596561242582,0,0,-0.0530691247614571,-0.0301370664900016,0,0,-0.645666918044444,-0.231153846320231,0
"skinks",0.00209681641349985,0,-0.1,0.0127652020610375,0,0,0,0,-0.165462211677205,0,-0.157128660857005,-0.0777916206912072,0,0,0,0,0,0,0,0,0,0,-0.0996151145311968,0,0,0.00766958176038895,0,0,-0.149485821759829,-0.258950292570925,-0.140501993343064,-0.163425376910821,0,-0.235616262799688,0,0,0,0,0
"large skinks",0.0529194227445421,0.312035742011737,-0.127652020610375,-0.1,0,0,0,0,-0.0176840476932918,0.0136570171059473,0,0,0,0,0.617084533455834,0.00281009327677312,0,0,0,0.00257336834037186,0,0,-0.496884925215079,0,0,0.0200091926517736,0,0,-0.0911639541468315,-0.10601646512613,-0.842471036571838,-0.244735831388426,0,0,0,0.776526258757804,0,0,0
"mala",0.0372019038086471,0.863044160510218,0,0,-0.1,0,0,0,-0.409901483841226,0,-0.0865863989749457,0,0,0,0.588552634255029,0.00673827730708942,0,0,0,0,0,0,-0.0964615545610078,0,0,0,-0.214336874425925,0,-0.018598580357564,0,-0.27996478786261,-0.370061485943439,0,0,0,0.98303712232504,0,-0.542287695095874,0
"small mammal",0.0114081966781415,0.165932927925152,0,0,0,-0.1,0,0,-0.106213882234285,0,0,0,0,0,0.494323625135237,0.0189995315032075,0,0,0.036731574584501,0.0191075383641035,0.0183919643270671,0,-0.224680103866254,0,0,0,-0.135312913282295,0,-0.605519934154693,-0.223730463791259,-0.0846938769896466,-0.0722747435286447,0,0,-0.200317456700712,0.768433430956211,0,0,0
"kangaroo",0,0.725966392390274,0,0,0,0,-0.1,0,-0.255150805313077,0,-0.0739965954525111,0,0,0,0.646504887549903,0.00722416634452541,0,0,0,0,0,0,-0.535098279241502,0,0,0,-0.178509187945882,0,-0.193728075277064,0,-0.504075695607375,-0.270197071070693,0,0,0,0.272545944403391,0,0,0
"echidna",0.00840452216032275,0.215373769260477,0,0,0,0,0,-0.1,-0.0582295363241709,0,-0.253354823490546,0,0,0,0.615940911360085,0,0,0,0,0,0,0,-0.0155984740257301,0,0,0,-0.607024728250632,0,0,0,-0.388426003765919,-0.277363297239857,0,0,0,0.832993475925177,0,0,0
"snakes",0,0,0.0165462211677205,0.00176840476932918,0.0409901483841227,0.0106213882234285,0.0255150805313077,0.00582295363241709,-0.1,0,-0.327603887917158,0.003293311642339,0.00779005142944716,0.0232099724263723,0,0,0,0,0,0,0,0,-0.416572226786993,0,0,0,0.0451393606019627,0,0,-0.399721711437245,0,-0.380028724291135,0,0,0,0,0,0,0
"solanum",0,0,0,-0.136570171059473,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.157548542402715,0,0,0,0,0,0,-0.265788379967137,0,0,-0.134669686647947,0,0,0,-0.62839380197227,-0.420083361710422,0
"bird",0.00166968682733416,0.0364873758004149,0.0157128660857005,0,0.00865863989749457,0,0.00739965954525111,0.0253354823490546,0.0327603887917158,0,-0.1,0.00898096278856888,0.0260156846050152,0,0.0265132257132444,0.0615284352435028,0.00829942522893444,0.011567897852681,0.00955789217743738,0.00268102151426495,0.00412665653056463,0,-0.019731319627332,0,0,0,0.0142489376808388,0,-0.315380503379127,-0.0324220292198507,-0.230360386360123,-0.0103058502421583,0,0,0,0,0,0,0
"goanna",0.0190361407834513,0.652171620700974,0.00777916206912072,0,0,0,0,0,-0.03293311642339,0,-0.0898096278856888,-0.1,0,0.00821036649619222,0.195953675587662,0,0,0,0,0,0,0,-0.584947559971836,0,0,0,0,0,-0.074197152231297,-0.510644165720843,-0.415125749659054,-0.240886650115322,0,0,0,0.484339873134159,0,-0.878436797801405,0
"betong",0,0.00884560105681883,0,0,0,0,0,0,-0.0779005142944716,0,-0.260156846050152,0,-0.1,0,0.0680635253031996,0.0340551498491645,0,0,0,0,0,0,-0.0476695477001582,0,0,0,-0.247949308848509,0,-0.34576063862259,0,-0.299154565142447,0,0,0,0,0,0,0,0
