common,latin,stefgroup
Acacia,Acacia acradenia,Acacia
Acacia,Acacia aneura,Acacia
Acacia,Acacia coriacea,Acacia
Acacia,Acacia cowleana,Acacia
Acacia,Acacia cuthbertsoni,Acacia
Acacia,Acacia dictyophleba,Acacia
Acacia,Acacia kempeana,Acacia
Acacia,Acacia ligulata,Acacia
Acacia,Acacia pruinocarpa,Acacia
Acacia,Acacia spondylophylla,Acacia
Acacia,Acacia tetragonophylla,Acacia
Desert oak,Allocasuarina decaisneana,Acacia
Lizard,Amphibolurus burnsi,skinks
parasitic shrub,Amyema sp.,misc_plant
Pacific black duck,Anas superciliosa,bird
Stimson's python,Antaresia stimsoni,Snakes
Striated worm-lizard,Aprasia striolata,skinks
Wedge-tailed eagle,Aquila audax,eagle
Spiders,Araneidae,insect
bustard,Ardeotis australis,bustard
black-headed python,Aspidites melanocephalus,Snakes
Ramsay's python,Aspidites ramsayii,Snakes
Freshwater rotifers,Bdelloid,insect
Burrowing betong,Bettongia lesueur,betong
bird shell,Bird egg shell,eggs
Cockroaches and Termites,Blattodea,insect
Freshwater plankton,Brachionus sp.,insect
Purslane,Calandrinia polyandra,forb
Galah,Calyptorhynchus roseicapilla,bird
Camel,Camelus dromedarius,camel
Honey ant,Camponotus inflatus,honeyant
Dingo,Canis lupus dingo,dingo
Australian myrtle,Canthium attenuatum,shrub
myrtle,Canthium latifolium,shrub
Round leaf caper,Capparis loranthifolia,bush
Wild orange,Capparis umbonata,bush
Rotifer,Cephalodella sp.,insect
pig-footed bandicoot,Chaeropus ecaudatus,bandicoot
Amaranth,Chenopodium curvispicatum,forb
centipede,Chilopoda,insect
truffle,Chioromyces aboriginum,forb
Plague locust,Chortoicetes terminifera,insect
beetles,Coleoptera,insect
Crows,Corvus cecilae,bird
ring tailed dragon,Ctenophorus caudicinctus,skinks
Military dragon,Ctenotus isolepis,skinks
Leonhardi's lizard,Ctenotus leonhardii,skinks
Eastern striped skink,Ctenotus robustus,skinks
Eastern Barred Wedgesnoutæ,Ctenotus strauchii,skinks
Musk melon,Cucumis melo (agrestis),misc_plant
Dumara bush,Cynanchum floribundum,bush
Bush Onion,Cyperus bulbosus,minyara
buttongrass,Dactyloctenium radulans,forb
crest-tailed mulgara,Dasycercus cristicauda,carnivorous_mammal
carniverous marsupial,Dasycercus hilleri,carnivorous_mammal
carniverous marsupial,Dasyurus hallucatus,carnivorous_mammal
Australian carrot,Daucus glochidiatus,forb
True flies,Diptera,insect
Emu,Dromaius novaehollandiae,emu
Great desert skink,Egernia kintorei,skinks
Nocturnal desert skink,Egernia striata,skinks
Australian tree skink,Egernia striolata,skinks
barrier saltbush,Enchylaena tomentosa,bush
Australian moth,Endoxyla cinerea,grub
Cossid moth,Endoxyla leucomochla,grub
Woolybutt grass,Eragrostis eriopoda,spinifex
Canegrass,Eragrostis lanipes,spinifex
Canegrass,Eragrostis setifolia,spinifex
native fuscia,Eremophila latrobei,shrub
flowering figwort,Eremophila longifolia,shrub
Eucaluptus,Eucalyptus opaca,Acacia
Australian hobby,Falco longipennis,bird
Cat,Felis catus,cat
Ficus,Ficus brachypoda,shrub
Fire,Fire,fire
Ants,Formicidae,insect
Eurasian coot,Fulica atra,bird
plant,Grevillea eriostachya,wama
plant,Grevillea stenobotrya,wama
plant,Grevillea wickhamii,wama
plant,Hakea leucoptera,wama
plant,Hakea suberea,wama
Four toed earless skink,Hemiergis peronii,skinks
Bynoe's gecko,Heteronotia binoei,skinks
True bugs,Heteroptera,insect
human,Homo sapiens,human
golden bandicoot,Isodon auratus,bandicoot
mala,Lagorchestes hirsutus,mala
Forrest's mouse,Leggadina forresti,small mammal
